,,كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
,101,55002,فیزیک مکانیک (پیش نیاز دانشگاهی),نظري,2,0,3115155203,,,محمدرضا ارشادی,,35,,1404/03/20 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,102,55001,ریاضیات پایه(پیش نیاز دانشگاهی),نظري,2,0,3115155202,,,محمدرضا ارشادی,,35,,1404/03/18 از 08:00 تا 10:00,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,103,6138156372,کارآموزی,كارآموزي,0,2,3115155201,,,محمدرضا ارشادی,,100,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,104,6138114704,پروژه,عملي,0,3,3115155200,,,محمدرضا ارشادی,,100,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,105,6138171999,سیستمهای اطلاعات مدیریت,آزمايشگاهي,2,1,3115155199,,شنبه از 07:45 تا 10:45,شهرام محمدی,,24,,1404/03/31 از 10:00 تا 12:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,106,6138207656,توسعه نرم‌افزار,آزمايشگاهي,2,1,3115155198,,يكشنبه از 15:30 تا 18:30,محمدرضا ارشادی,,24,,1404/03/27 از 10:00 تا 12:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,107,6138207655,آزمایشگاه طراحی واسط کاربری,كارگاهي,0,1,3115155197,,,محمدرضا ارشادی,,24,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,108,6138108174,امنیت اطلاعات,نظري,2,0,3115155196,,شنبه از 10:45 تا 12:15,شهرام محمدی,,35,,1404/03/18 از 10:00 تا 12:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,109,6138135578,شبیه سازی,آزمايشگاهي,2,1,3115155195,,چهارشنبه از 13:15 تا 16:15,محسن بیگی هرچگانی,,24,,1404/03/29 از 08:00 تا 10:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,110,6138125015,داده کاوی,آزمايشگاهي,2,1,3115155194,,يكشنبه از 10:00 تا 12:30,اذر فتحي پوردهکردي,,24,,1404/03/26 از 15:00 تا 17:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
